Record_No,PMID,Title,Authors,Citation,First_Author,Journal_or_Book,Publication_Year,Create_Date,PMCID,DOI
76,27640517,"Stress, the Autonomic Nervous System, and the Immune-kynurenine Pathway in the Etiology of Depression","Won E, Kim YK.",Curr Neuropharmacol. 2016;14(7):665-73. doi: 10.2174/1570159x14666151208113006.,Won E,Curr Neuropharmacol,2016,2016-09-20,PMC5050399,10.2174/1570159x14666151208113006
77,8723134,Noradrenergic mechanisms in stress and anxiety: II. Clinical studies,"Bremner JD, Krystal JH, Southwick SM, Charney DS.",Synapse. 1996 May;23(1):39-51. doi: 10.1002/(SICI)1098-2396(199605)23:1<39::AID-SYN5>3.0.CO;2-I.,Bremner JD,Synapse,1996,1996-05-01,,10.1002/(SICI)1098-2396(199605)23:1<39::AID-SYN5>3.0.CO;2-I
78,39304871,Gegen Qinlian decoction alleviates depression-like behavior by modulating the gut microenvironment in CUMS rats,"Peng Y, Du Y, Zhang Y, Wang Z, Hu T, Mai Y, Song H, Pan W, Cai Q, Ge F, Fan Y, Kim HY, Liu D, Guan X.",BMC Complement Med Ther. 2024 Sep 20;24(1):339. doi: 10.1186/s12906-024-04638-4.,Peng Y,BMC Complement Med Ther,2024,2024-09-20,PMC11416015,10.1186/s12906-024-04638-4
79,34051199,"Prenatal urinary concentrations of phthalate metabolites and behavioral problems in Mexican children: The Programming Research in Obesity, Growth Environment and Social Stress (PROGRESS) study","Colicino E, de Water E, Just AC, Navarro E, Pedretti NF, McRae N, Braun JM, Schnaas L, Rodríguez-Carmona Y, Hernández C, Tamayo-Ortiz M, Téllez-Rojo MM, Deierlein AL, Calafat AM, Baccarelli A, Wright RO, Horton MK.",Environ Res. 2021 Oct;201:111338. doi: 10.1016/j.envres.2021.111338. Epub 2021 May 26.,Colicino E,Environ Res,2021,2021-05-29,PMC9234946,10.1016/j.envres.2021.111338
80,30882243,Lactobacillus paracasei PS23 reduced early-life stress abnormalities in maternal separation mouse model,"Liao JF, Hsu CC, Chou GT, Hsu JS, Liong MT, Tsai YC.",Benef Microbes. 2019 Apr 19;10(4):425-436. doi: 10.3920/BM2018.0077. Epub 2019 Mar 18.,Liao JF,Benef Microbes,2019,2019-03-19,,10.3920/BM2018.0077
81,31260743,"Major fundamental factors hindering immune system in defense against tumor cells: The link between insufficiency of innate immune responses, metabolism, and neurotransmitters with effector immune cells disability","Bahrambeigi S, Sanajou D, Shafiei-Irannejad V.",Immunol Lett. 2019 Aug;212:81-87. doi: 10.1016/j.imlet.2019.06.008. Epub 2019 Jun 28.,Bahrambeigi S,Immunol Lett,2019,2019-07-02,,10.1016/j.imlet.2019.06.008
82,34111472,Proteomic and metabolomic characterization of amygdala in chronic social defeat stress rats,"Fan L, Yang L, Li X, Teng T, Xiang Y, Liu X, Jiang Y, Zhu Y, Zhou X, Xie P.",Behav Brain Res. 2021 Aug 27;412:113407. doi: 10.1016/j.bbr.2021.113407. Epub 2021 Jun 8.,Fan L,Behav Brain Res,2021,2021-06-10,,10.1016/j.bbr.2021.113407
83,37120947,Oxytocin prevents dysregulation of the acute stress response and glucocorticoid-induced oxidative stress in chronically isolated prairie voles,"Stevenson JR, McMahon EK, McNeely TL, Haussmann MF.",Psychoneuroendocrinology. 2023 Jul;153:106121. doi: 10.1016/j.psyneuen.2023.106121. Epub 2023 Apr 20.,Stevenson JR,Psychoneuroendocrinology,2023,2023-04-30,PMC10225351,10.1016/j.psyneuen.2023.106121
84,38382546,SCFAs Supplementation Rescues Anxiety- and Depression-like Phenotypes Generated by Fecal Engraftment of Treatment-Resistant Depression Rats,"Palepu MSK, Gajula SNR, K M, Sonti R, Dandekar MP.",ACS Chem Neurosci. 2024 Mar 6;15(5):1010-1025. doi: 10.1021/acschemneuro.3c00727. Epub 2024 Feb 21.,Palepu MSK,ACS Chem Neurosci,2024,2024-02-21,,10.1021/acschemneuro.3c00727
85,37665601,CCK1R2R(-/-) ameliorates myocardial damage caused by unpredictable stress via altering fatty acid metabolism,"Zhang ZH, Yang CT, Su XR, Li YP, Zhang XJ, Wang SJ, Cong B.",Stress. 2023 Nov;26(1):2254566. doi: 10.1080/10253890.2023.2254566.,Zhang ZH,Stress,2023,2023-09-04,,10.1080/10253890.2023.2254566
86,34890405,Vaginal microbiota of American Indian women and associations with measures of psychosocial stress,"Borgogna JC, Anastario M, Firemoon P, Rink E, Ricker A, Ravel J, Brotman RM, Yeoman CJ.",PLoS One. 2021 Dec 10;16(12):e0260813. doi: 10.1371/journal.pone.0260813. eCollection 2021.,Borgogna JC,PLoS One,2021,2021-12-10,PMC8664215,10.1371/journal.pone.0260813
87,29073819,"Evaluation of hair cortisol and cortisone change during pregnancy and the association with self-reported depression, somatization, and stress symptoms","Scharlau F, Pietzner D, Vogel M, Gaudl A, Ceglarek U, Thiery J, Kratzsch J, Hiemisch A, Kiess W.",Stress. 2018 Jan;21(1):43-50. doi: 10.1080/10253890.2017.1392507. Epub 2017 Oct 26.,Scharlau F,Stress,2018,2017-10-28,,10.1080/10253890.2017.1392507
88,26611561,Interaction between handling induced stress and anxiolytic effects of ethanol in zebrafish: A behavioral and neurochemical analysis,"Tran S, Nowicki M, Fulcher N, Chatterjee D, Gerlai R.",Behav Brain Res. 2016 Feb 1;298(Pt B):278-85. doi: 10.1016/j.bbr.2015.10.061. Epub 2015 Nov 28.,Tran S,Behav Brain Res,2016,2015-11-28,,10.1016/j.bbr.2015.10.061
89,28228069,"Recent Advances in the Gastric Mucosal Protection Against Stress-induced Gastric Lesions. Importance of Renin-angiotensin Vasoactive Metabolites, Gaseous Mediators and Appetite Peptides","Brzozowski T, Magierowska K, Magierowski M, Ptak-Belowska A, Pajdo R, Kwiecien S, Olszanecki R, Korbut R.",Curr Pharm Des. 2017;23(27):3910-3922. doi: 10.2174/1381612823666170220160222.,Brzozowski T,Curr Pharm Des,2017,2017-02-24,,10.2174/1381612823666170220160222
90,27188285,Stress transgenerationally programs metabolic pathways linked to altered mental health,"Kiss D, Ambeskovic M, Montina T, Metz GA.",Cell Mol Life Sci. 2016 Dec;73(23):4547-4557. doi: 10.1007/s00018-016-2272-4. Epub 2016 May 17.,Kiss D,Cell Mol Life Sci,2016,2016-05-19,PMC11108354,10.1007/s00018-016-2272-4
91,38822061,Transgenerational effects of early life stress on the fecal microbiota in mice,"Otaru N, Kourouma L, Pugin B, Constancias F, Braegger C, Mansuy IM, Lacroix C.",Commun Biol. 2024 May 31;7(1):670. doi: 10.1038/s42003-024-06279-2.,Otaru N,Commun Biol,2024,2024-05-31,PMC11143345,10.1038/s42003-024-06279-2
92,38092374,A Plasma Metabolite Score Related to Psychological Distress and Diabetes Risk: A Nested Case-control Study in US Women,"Huang T, Zhu Y, Shutta KH, Balasubramanian R, Zeleznik OA, Rexrode KM, Clish CB, Sun Q, Hu FB, Kubzansky LD, Hankinson SE.",J Clin Endocrinol Metab. 2024 May 17;109(6):e1434-e1441. doi: 10.1210/clinem/dgad731.,Huang T,J Clin Endocrinol Metab,2024,2023-12-13,PMC11549765,10.1210/clinem/dgad731
93,35866213,The emotional impact of disrupted environmental contexts: Enrichment loss and coping profiles influence stress response recovery in Long-Evans rats,"Kent M, Kovalev D, Hart B, Leserve D, Handford G, Vavra D, Lambert K.",J Neuroendocrinol. 2022 Jul;34(7):e13179. doi: 10.1111/jne.13179. Epub 2022 Jul 21.,Kent M,J Neuroendocrinol,2022,2022-07-22,PMC9540572,10.1111/jne.13179
94,35228511,Metabolomic signature and mitochondrial dynamics outline the difference between vulnerability and resilience to chronic stress,"Brivio P, Audano M, Gallo MT, Gruca P, Lason M, Litwa E, Fumagalli F, Papp M, Mitro N, Calabrese F.",Transl Psychiatry. 2022 Feb 28;12(1):87. doi: 10.1038/s41398-022-01856-7.,Brivio P,Transl Psychiatry,2022,2022-03-01,PMC8885712,10.1038/s41398-022-01856-7
95,36674752,Impacts of Subchronic and Mild Social Defeat Stress on Plasma Putrefactive Metabolites and Cardiovascular Structure in Male Mice,"Toyoda A, Kawakami K, Amano Y, Nishizawa H, Nakamura SI, Kawase T, Yoshida Y, Suzuki H, Tsukahara T.",Int J Mol Sci. 2023 Jan 8;24(2):1237. doi: 10.3390/ijms24021237.,Toyoda A,Int J Mol Sci,2023,2023-01-21,PMC9866670,10.3390/ijms24021237
96,22006016,Stress-induced cross-sensitization to amphetamine is related to changes in the dopaminergic system,"Cruz FC, Marin MT, Leão RM, Planeta CS.",J Neural Transm (Vienna). 2012 Apr;119(4):415-24. doi: 10.1007/s00702-011-0720-8. Epub 2011 Oct 18.,Cruz FC,J Neural Transm (Vienna),2012,2011-10-19,,10.1007/s00702-011-0720-8
97,38608734,Microbial Metabolite: A Link Between Psychological Stress and Epithelial Disturbance,Reed D.,Gastroenterology. 2024 Jul;167(2):411-412. doi: 10.1053/j.gastro.2024.03.041. Epub 2024 Apr 10.,Reed D,Gastroenterology,2024,2024-04-12,,10.1053/j.gastro.2024.03.041
98,6824043,"Psychological stress and increases in urinary norepinephrine metabolites, platelet serotonin, and adrenal androgens in women with polycystic ovary syndrome","Lobo RA, Granger LR, Paul WL, Goebelsmann U, Mishell DR Jr.",Am J Obstet Gynecol. 1983 Feb 15;145(4):496-503. doi: 10.1016/0002-9378(83)90324-1.,Lobo RA,Am J Obstet Gynecol,1983,1983-02-15,,10.1016/0002-9378(83)90324-1
99,37147546,Association of polycyclic aromatic hydrocarbon metabolite concentration in urine and occupational stress in underground coal miners in China: propensity score and bayesian kernel machine regression,"Zhang H, Cao J, Liu A, Gao Q, Nie J, Zhou X, Huang J, Sun C, Wang T.",Environ Sci Pollut Res Int. 2023 Jun;30(27):70315-70330. doi: 10.1007/s11356-023-27321-6. Epub 2023 May 6.,Zhang H,Environ Sci Pollut Res Int,2023,2023-05-05,,10.1007/s11356-023-27321-6
100,15877313,Depression and cardiovascular disease: a reciprocal relationship,Plante GE.,Metabolism. 2005 May;54(5 Suppl 1):45-8. doi: 10.1016/j.metabol.2005.01.013.,Plante GE,Metabolism,2005,2005-05-07,,10.1016/j.metabol.2005.01.013
101,26177123,Valerenic Acid Protects Against Physical and Psychological Stress by Reducing the Turnover of Serotonin and Norepinephrine in Mouse Hippocampus-Amygdala Region,"Jung HY, Yoo DY, Nam SM, Kim JW, Choi JH, Yoo M, Lee S, Yoon YS, Hwang IK.",J Med Food. 2015 Dec;18(12):1333-9. doi: 10.1089/jmf.2014.3412. Epub 2015 Jul 15.,Jung HY,J Med Food,2015,2015-07-16,PMC4685497,10.1089/jmf.2014.3412
102,19751181,Chlorophytum borivilianum: a white gold for biopharmaceuticals and neutraceuticals,"Thakur GS, Bag M, Sanodiya BS, Debnath M, Zacharia A, Bhadauriya P, Prasad GB, Bisen PS.",Curr Pharm Biotechnol. 2009 Nov;10(7):650-66. doi: 10.2174/138920109789542084.,Thakur GS,Curr Pharm Biotechnol,2009,2009-09-16,,10.2174/138920109789542084
103,38726788,Long-Term Implicit Epigenetic Stress Information in the Enteric Nervous System and its Contribution to Developing and Perpetuating IBS,"Noemi CN, Bob P, Bókkon I.",Curr Neuropharmacol. 2024;22(13):2100-2112. doi: 10.2174/1570159X22666240507095700.,Noemi CN,Curr Neuropharmacol,2024,2024-05-10,PMC11337685,10.2174/1570159X22666240507095700
104,33246560,Alterations of neurotransmitters and related metabolites in the habenula from CUMS-susceptible and -resilient rats,"Tian Y, Wu Z, Wang Y, Chen C, He Y, Lan T, Li Y, Bai M, Yu H, Chen X, Chen Z, Cheng K, Xie P.",Biochem Biophys Res Commun. 2021 Jan 1;534:422-428. doi: 10.1016/j.bbrc.2020.11.065. Epub 2020 Nov 25.,Tian Y,Biochem Biophys Res Commun,2021,2020-11-28,,10.1016/j.bbrc.2020.11.065
105,32619140,Eating behaviours related to psychological stress are associated with functional hypothalamic amenorrhoea in exercising women,"Strock NCA, De Souza MJ, Williams NI.",J Sports Sci. 2020 Nov;38(21):2396-2406. doi: 10.1080/02640414.2020.1786297. Epub 2020 Jul 3.,Strock NCA,J Sports Sci,2020,2020-07-04,,10.1080/02640414.2020.1786297
106,25437455,Plasma and liver metabolic profiles in mice subjected to subchronic and mild social defeat stress,"Goto T, Kubota Y, Toyoda A.",J Proteome Res. 2015 Feb 6;14(2):1025-32. doi: 10.1021/pr501044k. Epub 2014 Dec 17.,Goto T,J Proteome Res,2015,2014-12-02,,10.1021/pr501044k
107,18465467,A link between stress and depression: shifts in the balance between the kynurenine and serotonin pathways of tryptophan metabolism and the etiology and pathophysiology of depression,"Miura H, Ozaki N, Sawada M, Isobe K, Ohta T, Nagatsu T.",Stress. 2008 May;11(3):198-209. doi: 10.1080/10253890701754068.,Miura H,Stress,2008,2008-05-10,,10.1080/10253890701754068
108,27454937,Neurochemical and Behavioral Responses to Unpredictable Chronic Mild Stress Following Developmental Isolation: The Zebrafish as a Model for Major Depression,"Fulcher N, Tran S, Shams S, Chatterjee D, Gerlai R.",Zebrafish. 2017 Feb;14(1):23-34. doi: 10.1089/zeb.2016.1295. Epub 2016 Jul 25.,Fulcher N,Zebrafish,2017,2016-07-26,,10.1089/zeb.2016.1295
109,24907693,Juvenile stress affects anxiety-like behavior and limbic monoamines in adult rats,"Luo XM, Yuan SN, Guan XT, Xie X, Shao F, Wang WW.",Physiol Behav. 2014 Aug;135:7-16. doi: 10.1016/j.physbeh.2014.05.035. Epub 2014 Jun 4.,Luo XM,Physiol Behav,2014,2014-06-08,,10.1016/j.physbeh.2014.05.035
110,38661160,Combined Effects of Early Life Stress and Prolonged Exposure to Western Diet on Emotional Responses and Gut Microbiota,"López-Taboada I, Arboleya S, Sal-Sarria S, Gueimonde M, González-Pardo H, Conejo NM.",Psicothema. 2024 May;36(2):133-144. doi: 10.7334/psicothema2023.287.,López-Taboada I,Psicothema,2024,2024-04-25,,10.7334/psicothema2023.287
111,30201218,Effects of early life stress on biochemical indicators of the dopaminergic system: A 3 level meta-analysis of rodent studies,"Bonapersona V, Joëls M, Sarabdjitsingh RA.",Neurosci Biobehav Rev. 2018 Dec;95:1-16. doi: 10.1016/j.neubiorev.2018.09.003. Epub 2018 Sep 7.,Bonapersona V,Neurosci Biobehav Rev,2018,2018-09-12,,10.1016/j.neubiorev.2018.09.003
112,24162769,Diagnostic value and clinical significance of stress hormones in patients with tinnitus,"Kim DK, Chung DY, Bae SC, Park KH, Yeo SW, Park SN.",Eur Arch Otorhinolaryngol. 2014 Nov;271(11):2915-21. doi: 10.1007/s00405-013-2785-5. Epub 2013 Oct 26.,Kim DK,Eur Arch Otorhinolaryngol,2014,2013-10-29,,10.1007/s00405-013-2785-5
113,28731451,"Novel Blood-Based Biomarkers of Cognition, Stress, and Physical or Cognitive Training in Older Adults at Risk of Dementia: Preliminary Evidence for a Role of BDNF, Irisin, and the Kynurenine Pathway","Küster OC, Laptinskaya D, Fissler P, Schnack C, Zügel M, Nold V, Thurm F, Pleiner S, Karabatsiakis A, von Einem B, Weydt P, Liesener A, Borta A, Woll A, Hengerer B, Kolassa IT, von Arnim CAF.",J Alzheimers Dis. 2017;59(3):1097-1111. doi: 10.3233/JAD-170447.,Küster OC,J Alzheimers Dis,2017,2017-07-22,,10.3233/JAD-170447
114,28273684,"Stress-sensitive arterial hypertension, haemodynamic changes and brain metabolites in hypertensive ISIAH rats: MRI investigation","Seryapina AA, Shevelev OB, Moshkin MP, Markel AL, Akulov AE.",Exp Physiol. 2017 May 1;102(5):523-532. doi: 10.1113/EP086064. Epub 2017 Apr 7.,Seryapina AA,Exp Physiol,2017,2017-03-09,,10.1113/EP086064
115,26724575,"Mouse chronic social stress increases blood and brain kynurenine pathway activity and fear behaviour: Both effects are reversed by inhibition of indoleamine 2,3-dioxygenase","Fuertig R, Azzinnari D, Bergamini G, Cathomas F, Sigrist H, Seifritz E, Vavassori S, Luippold A, Hengerer B, Ceci A, Pryce CR.",Brain Behav Immun. 2016 May;54:59-72. doi: 10.1016/j.bbi.2015.12.020. Epub 2015 Dec 24.,Fuertig R,Brain Behav Immun,2016,2016-01-03,,10.1016/j.bbi.2015.12.020
116,17604913,Early life stress and novelty seeking behavior in adolescent monkeys,"Parker KJ, Rainwater KL, Buckmaster CL, Schatzberg AF, Lindley SE, Lyons DM.",Psychoneuroendocrinology. 2007 Aug;32(7):785-92. doi: 10.1016/j.psyneuen.2007.05.008. Epub 2007 Jul 2.,Parker KJ,Psychoneuroendocrinology,2007,2007-07-03,PMC2716798,10.1016/j.psyneuen.2007.05.008
117,33972646,Decrease of α-defensin impairs intestinal metabolite homeostasis via dysbiosis in mouse chronic social defeat stress model,"Suzuki K, Nakamura K, Shimizu Y, Yokoi Y, Ohira S, Hagiwara M, Wang Y, Song Y, Aizawa T, Ayabe T.",Sci Rep. 2021 May 10;11(1):9915. doi: 10.1038/s41598-021-89308-y.,Suzuki K,Sci Rep,2021,2021-05-11,PMC8110768,10.1038/s41598-021-89308-y
118,38397124,Non-Targeted Metabolomics Investigation of a Sub-Chronic Variable Stress Model Unveils Sex-Dependent Metabolic Differences Induced by Stress,"Kang S, Kim W, Nam J, Li K, Kang Y, Bae B, Chun KH, Chung C, Lee J.",Int J Mol Sci. 2024 Feb 19;25(4):2443. doi: 10.3390/ijms25042443.,Kang S,Int J Mol Sci,2024,2024-02-24,PMC10889542,10.3390/ijms25042443
119,21703288,Social stress and reproductive success in the female Syrian hamster: endocrine and behavioral correlates,"Chelini MO, Palme R, Otta E.",Physiol Behav. 2011 Oct 24;104(5):948-54. doi: 10.1016/j.physbeh.2011.06.006. Epub 2011 Jun 16.,Chelini MO,Physiol Behav,2011,2011-06-28,,10.1016/j.physbeh.2011.06.006
120,31325375,Altered monoamine levels in the dorsal striatum of the rat are associated with alterations in behavioural selection and motivation following peripheral nerve injury and acute stress,"Gemikonakli G, Keay KA, Kendig MD, Kang JWM, Corbit LH, Mor D.",Eur J Neurosci. 2019 Sep;50(5):2786-2800. doi: 10.1111/ejn.14518. Epub 2019 Aug 10.,Gemikonakli G,Eur J Neurosci,2019,2019-07-21,,10.1111/ejn.14518
121,34320918,Changes in kynurenine pathway metabolites after acute psychosocial stress in healthy males: a single-arm pilot study,"La Torre D, Dalile B, de Loor H, Van Oudenhove L, Verbeke K.",Stress. 2021 Nov;24(6):920-930. doi: 10.1080/10253890.2021.1959546. Epub 2021 Aug 4.,La Torre D,Stress,2021,2021-07-29,,10.1080/10253890.2021.1959546
122,38763328,Oral microbiota dysbiosis alters chronic restraint stress-induced depression-like behaviors by modulating host metabolism,"Lou F, Luo S, Kang N, Yan L, Long H, Yang L, Wang H, Liu Y, Pu J, Xie P, Ji P, Jin X.",Pharmacol Res. 2024 Jun;204:107214. doi: 10.1016/j.phrs.2024.107214. Epub 2024 May 17.,Lou F,Pharmacol Res,2024,2024-05-19,,10.1016/j.phrs.2024.107214
123,24911317,Acute net stressor increases whole-body cortisol levels without altering whole-brain monoamines in zebrafish,"Tran S, Chatterjee D, Gerlai R.",Behav Neurosci. 2014 Oct;128(5):621-4. doi: 10.1037/bne0000005. Epub 2014 Jun 9.,Tran S,Behav Neurosci,2014,2014-06-10,,10.1037/bne0000005
124,25629821,Acute and chronic plasma metabolomic and liver transcriptomic stress effects in a mouse model with features of post-traumatic stress disorder,"Gautam A, D'Arpa P, Donohue DE, Muhie S, Chakraborty N, Luke BT, Grapov D, Carroll EE, Meyerhoff JL, Hammamieh R, Jett M.",PLoS One. 2015 Jan 28;10(1):e0117092. doi: 10.1371/journal.pone.0117092. eCollection 2015.,Gautam A,PLoS One,2015,2015-01-29,PMC4309402,10.1371/journal.pone.0117092
125,2247559,The predictive role of psychosocial stress on symptom severity in premenstrual syndrome,"Beck LE, Gevirtz R, Mortola JF.",Psychosom Med. 1990 Sep-Oct;52(5):536-43. doi: 10.1097/00006842-199009000-00006.,Beck LE,Psychosom Med,1990,1990-09-01,,10.1097/00006842-199009000-00006
126,24015247,Perceived stress at work is associated with lower levels of DHEA-S,"Lennartsson AK, Theorell T, Rockwood AL, Kushnir MM, Jonsdottir IH.",PLoS One. 2013 Aug 28;8(8):e72460. doi: 10.1371/journal.pone.0072460. eCollection 2013.,Lennartsson AK,PLoS One,2013,2013-09-10,PMC3756071,10.1371/journal.pone.0072460
127,10071178,Stress and self-injurious behavior; hormonal and serotonergic parameters in mentally retarded subjects,"Verhoeven WM, Tuinier S, van den Berg YW, Coppus AM, Fekkes D, Pepplinkhuizen L, Thijssen JH.",Pharmacopsychiatry. 1999 Jan;32(1):13-20. doi: 10.1055/s-2007-979183.,Verhoeven WM,Pharmacopsychiatry,1999,1999-03-10,,10.1055/s-2007-979183
128,31034851,Limited effects of early life manipulations on sex-specific gene expression and behavior in adulthood,"Candemir E, Post A, Dischinger US, Palme R, Slattery DA, O'Leary A, Reif A.",Behav Brain Res. 2019 Sep 2;369:111927. doi: 10.1016/j.bbr.2019.111927. Epub 2019 Apr 26.,Candemir E,Behav Brain Res,2019,2019-04-30,,10.1016/j.bbr.2019.111927
129,19120112,Estrogen replacement suppresses pressor response and oxidative stress induced by cage-switch stress in ovariectomized rats,"Morimoto K, Uji M, Ueyama T, Kimura H, Kohno T, Takamata A, Yano S, Yoshida K.",Ann N Y Acad Sci. 2008 Dec;1148:213-8. doi: 10.1196/annals.1410.045.,Morimoto K,Ann N Y Acad Sci,2008,2009-01-06,,10.1196/annals.1410.045
